Time [sec]          Ch 1 [K]  Ch 2 [K]  Ch 3 [K]  Ch 4 [K]  
1539700987          71.68     71.66     495.00    500.00    
1539701020          71.76     71.74     495.00    500.00    
1539701052          71.85     71.83     495.00    500.00    
1539701084          71.94     71.91     495.00    500.00    
1539701116          72.02     72.00     495.00    500.00    
1539701148          72.10     72.09     495.00    500.00    
1539701181          72.18     72.17     495.00    500.00    
1539701213          72.27     72.26     495.00    500.00    
1539701245          72.35     72.34     495.00    500.00    
1539701277          72.44     72.43     495.00    500.00    
1539701309          72.52     72.51     495.00    500.00    
1539701342          72.60     72.60     495.00    500.00    
1539701374          72.69     72.69     495.00    500.00    
1539701406          72.77     72.77     495.00    500.00    
1539701438          72.86     72.86     495.00    500.00    
1539701470          72.94     72.94     495.00    500.00    
1539701503          73.02     73.03     495.00    500.00    
1539701535          73.10     73.11     495.00    500.00    
1539701567          73.18     73.19     495.00    500.00    
1539701599          73.27     73.28     495.00    500.00    
1539701631          73.35     73.35     495.00    500.00    
1539701664          73.44     73.45     495.00    500.00    
1539701696          73.52     73.53     495.00    500.00    
1539701728          73.60     73.61     495.00    500.00    
1539701760          73.68     73.69     495.00    500.00    
1539701792          73.76     73.78     495.00    500.00    
1539701825          73.84     73.86     495.00    500.00    
1539701857          73.92     73.95     495.00    500.00    
1539701889          74.00     74.03     495.00    500.00    
1539701921          74.09     74.11     495.00    500.00    
1539701953          74.17     74.19     495.00    500.00    
1539701986          74.25     74.28     495.00    500.00    
1539702018          74.33     74.36     495.00    500.00    
1539702050          74.41     74.45     495.00    500.00    
1539702082          74.50     74.52     495.00    500.00    
1539702114          74.58     74.61     495.00    500.00    
1539702147          74.66     74.69     495.00    500.00    
1539702179          74.74     74.78     495.00    500.00    
1539702211          74.82     74.86     495.00    500.00    
1539702243          74.91     74.94     495.00    500.00    
1539702275          74.98     75.01     495.00    500.00    
1539702308          75.05     75.09     495.00    500.00    
1539702340          75.13     75.17     495.00    500.00    
1539702372          75.21     75.25     495.00    500.00    
1539702404          75.29     75.33     495.00    500.00    
1539702436          75.37     75.41     495.00    500.00    
1539702469          75.45     75.49     495.00    500.00    
1539702501          75.53     75.56     495.00    500.00    
1539702533          75.61     75.65     495.00    500.00    
1539702565          75.69     75.72     495.00    500.00    
1539702597          75.77     75.80     495.00    500.00    
1539702630          75.85     75.88     495.00    500.00    
1539702662          75.92     75.95     495.00    500.00    
1539702694          76.00     76.03     495.00    500.00    
1539702726          76.08     76.11     495.00    500.00    
1539702758          76.16     76.19     495.00    500.00    
1539702791          76.23     76.27     495.00    500.00    
1539702823          76.31     76.34     495.00    500.00    
1539702855          76.39     76.42     495.00    500.00    
1539702887          76.46     76.49     495.00    500.00    
1539702919          76.53     76.57     495.00    500.00    
1539702952          76.61     76.64     495.00    500.00    
1539702984          76.69     76.72     495.00    500.00    
1539703016          76.76     76.79     495.00    500.00    
1539703048          76.83     76.86     495.00    500.00    
1539703080          76.91     76.93     495.00    500.00    
1539703113          76.98     77.01     495.00    500.00    
1539703145          77.06     77.08     495.00    500.00    
1539703177          77.12     77.15     495.00    500.00    
1539703209          77.20     77.22     495.00    500.00    
1539703241          77.27     77.29     495.00    500.00    
1539703274          77.34     77.37     495.00    500.00    
1539703306          77.41     77.44     495.00    500.00    
1539703338          77.48     77.51     495.00    500.00    
1539703370          77.55     77.58     495.00    500.00    
1539703402          77.62     77.65     495.00    500.00    
1539703435          77.69     77.73     495.00    500.00    
1539703467          77.77     77.80     495.00    500.00    
1539703499          77.84     77.88     495.00    500.00    
1539703531          77.91     77.94     495.00    500.00    
1539703563          77.98     78.02     495.00    500.00    
1539703596          78.05     78.09     495.00    500.00    
1539703628          78.12     78.15     495.00    500.00    
1539703660          78.19     78.23     495.00    500.00    
1539703692          78.26     78.30     495.00    500.00    
1539703724          78.32     78.36     495.00    500.00    
1539703757          78.39     78.44     495.00    500.00    
1539703789          78.46     78.50     495.00    500.00    
1539703821          78.53     78.58     495.00    500.00    
1539703853          78.60     78.65     495.00    500.00    
1539703885          78.67     78.72     495.00    500.00    
1539703918          78.74     78.79     495.00    500.00    
1539703950          78.80     78.86     495.00    500.00    
1539703982          78.87     78.92     495.00    500.00    
1539704014          78.94     78.99     495.00    500.00    
1539704046          79.00     79.06     495.00    500.00    
1539704079          79.07     79.13     495.00    500.00    
1539704111          79.14     79.20     495.00    500.00    
1539704143          79.20     79.26     495.00    500.00    
1539704175          79.27     79.33     495.00    500.00    
1539704207          79.33     79.39     495.00    500.00    
1539704240          79.40     79.46     495.00    500.00    
1539704272          79.46     79.53     495.00    500.00    
1539704304          79.53     79.59     495.00    500.00    
1539704336          79.59     79.66     495.00    500.00    
1539704368          79.66     79.72     495.00    500.00    
1539704401          79.72     79.79     495.00    500.00    
1539704433          79.78     79.86     495.00    500.00    
1539704465          79.85     79.92     495.00    500.00    
1539704497          79.91     79.98     495.00    500.00    
1539704529          79.97     80.04     495.00    500.00    
1539704562          80.03     80.10     495.00    500.00    
1539704594          80.09     80.17     495.00    500.00    
1539704626          80.16     80.23     495.00    500.00    
1539704658          80.22     80.29     495.00    500.00    
1539704690          80.28     80.36     495.00    500.00    
1539704723          80.34     80.42     495.00    500.00    
1539704755          80.41     80.48     495.00    500.00    
1539704787          80.47     80.54     495.00    500.00    
1539704819          80.53     80.60     495.00    500.00    
1539704851          80.60     80.67     495.00    500.00    
1539704884          80.67     80.73     495.00    500.00    
1539704916          80.72     80.79     495.00    500.00    
1539704948          80.79     80.85     495.00    500.00    
1539704980          80.85     80.92     495.00    500.00    
1539705012          80.92     80.98     495.00    500.00    
1539705045          80.98     81.05     495.00    500.00    
1539705077          81.05     81.11     495.00    500.00    
1539705109          81.11     81.18     495.00    500.00    
1539705141          81.17     81.24     495.00    500.00    
1539705174          81.23     81.30     495.00    500.00    
1539705206          81.30     81.36     495.00    500.00    
1539705238          81.36     81.43     495.00    500.00    
1539705270          81.42     81.49     495.00    500.00    
1539705302          81.48     81.55     495.00    500.00    
1539705335          81.55     81.61     495.00    500.00    
1539705367          81.61     81.67     495.00    500.00    
1539705399          81.67     81.74     495.00    500.00    
1539705431          81.73     81.80     495.00    500.00    
1539705463          81.79     81.86     495.00    500.00    
1539705496          81.85     81.91     495.00    500.00    
1539705528          81.91     81.97     495.00    500.00    
1539705560          81.97     82.03     495.00    500.00    
1539705592          82.03     82.09     495.00    500.00    
1539705624          82.08     82.15     495.00    500.00    
1539705657          82.14     82.20     495.00    500.00    
1539705689          82.20     82.26     495.00    500.00    
1539705721          82.26     82.32     495.00    500.00    
1539705753          82.31     82.38     495.00    500.00    
1539705785          82.38     82.43     495.00    500.00    
1539705818          82.44     82.49     495.00    500.00    
1539705850          82.50     82.55     495.00    500.00    
1539705882          82.55     82.61     495.00    500.00    
1539705914          82.61     82.67     495.00    500.00    
1539705946          82.67     82.73     495.00    500.00    
1539705979          82.73     82.78     495.00    500.00    
1539706011          82.78     82.84     495.00    500.00    
1539706043          82.84     82.90     495.00    500.00    
1539706075          82.89     82.95     495.00    500.00    
1539706107          82.95     83.01     495.00    500.00    
1539706140          83.00     83.06     495.00    500.00    
1539706172          83.06     83.12     495.00    500.00    
1539706204          83.12     83.17     495.00    500.00    
1539706236          83.17     83.23     495.00    500.00    
1539706268          83.23     83.28     495.00    500.00    
1539706301          83.28     83.34     495.00    500.00    
1539706333          83.34     83.39     495.00    500.00    
1539706365          83.39     83.44     495.00    500.00    
1539706397          83.44     83.50     495.00    500.00    
1539706429          83.49     83.55     495.00    500.00    
1539706462          83.55     83.60     495.00    500.00    
1539706494          83.59     83.65     495.00    500.00    
1539706526          83.64     83.70     495.00    500.00    
1539706558          83.69     83.75     495.00    500.00    
1539706590          83.75     83.80     495.00    500.00    
1539706623          83.80     83.85     495.00    500.00    
1539706655          83.85     83.90     495.00    500.00    
1539706687          83.90     83.95     495.00    500.00    
1539706719          83.95     84.00     495.00    500.00    
1539706751          84.00     84.05     495.00    500.00    
1539706784          84.06     84.11     495.00    500.00    
1539706816          84.11     84.16     495.00    500.00    
1539706848          84.16     84.21     495.00    500.00    
1539706880          84.22     84.27     495.00    500.00    
1539706912          84.27     84.32     495.00    500.00    
1539706945          84.32     84.37     495.00    500.00    
1539706977          84.37     84.42     495.00    500.00    
1539707009          84.42     84.47     495.00    500.00    
1539707041          84.47     84.52     495.00    500.00    
1539707073          84.52     84.57     495.00    500.00    
1539707106          84.58     84.63     495.00    500.00    
1539707138          84.63     84.68     495.00    500.00    
1539707170          84.69     84.73     495.00    500.00    
1539707202          84.74     84.79     495.00    500.00    
1539707234          84.79     84.84     495.00    500.00    
1539707267          84.84     84.89     495.00    500.00    
1539707299          84.89     84.94     495.00    500.00    
1539707331          84.94     84.99     495.00    500.00    
1539707363          84.99     85.04     495.00    500.00    
1539707395          85.05     85.09     495.00    500.00    
1539707428          85.09     85.14     495.00    500.00    
1539707460          85.14     85.19     495.00    500.00    
1539707492          85.19     85.24     495.00    500.00    
1539707524          85.24     85.29     495.00    500.00    
