Time [sec]          Ch A [K]  Ch B [K]  Ch C [K]  Ch D [K]  
1542094260          27.26     34.86     505.00    21.53     
1542094282          27.29     34.88     505.00    21.53     
1542094304          27.31     34.91     505.00    21.53     
1542094326          27.34     34.94     505.00    21.53     
1542094348          27.36     34.96     505.00    21.53     
1542094370          27.37     34.98     505.00    21.53     
1542094392          27.40     35.00     505.00    21.53     
1542094414          27.40     35.03     505.00    21.54     
1542094436          27.45     35.05     505.00    21.54     
1542094458          27.44     35.07     505.00    21.53     
1542094480          27.47     35.09     505.00    21.54     
1542094502          27.48     35.11     505.00    21.54     
1542094524          27.50     35.13     505.00    21.54     
1542094546          27.52     35.15     505.00    21.54     
1542094568          27.52     35.17     505.00    21.54     
1542094590          27.55     35.18     505.00    21.52     
1542094612          27.55     35.20     505.00    21.52     
1542094634          27.58     35.22     505.00    21.54     
1542094656          27.59     35.23     505.00    21.54     
1542094678          27.60     35.25     505.00    21.52     
1542094700          27.62     35.27     505.00    21.53     
1542094722          27.62     35.28     505.00    21.53     
1542094744          27.65     35.30     505.00    21.52     
1542094766          27.64     35.31     505.00    21.54     
1542094788          27.67     35.32     505.00    21.54     
1542094810          27.67     35.34     505.00    21.52     
1542094833          27.69     35.35     505.00    21.54     
1542094855          27.70     35.36     505.00    21.53     
1542094877          27.70     35.37     505.00    21.53     
1542094899          27.73     35.39     505.00    21.52     
1542094921          27.72     35.40     505.00    21.53     
1542094943          27.75     35.41     505.00    21.53     
1542094965          27.74     35.42     505.00    21.53     
1542094987          27.76     35.43     505.00    21.52     
1542095009          27.76     35.45     505.00    21.53     
1542095031          27.77     35.46     505.00    21.52     
1542095053          27.79     35.47     505.00    21.52     
1542095075          27.79     35.48     505.00    21.52     
1542095097          27.81     35.49     505.00    21.53     
1542095119          27.80     35.49     505.00    21.53     
1542095141          27.82     35.50     505.00    21.53     
1542095163          27.82     35.52     505.00    21.53     
1542095185          27.84     35.56     505.00    21.53     
1542095207          27.86     35.62     505.00    21.54     
1542095229          27.89     35.68     505.00    21.53     
1542095251          27.94     35.76     505.00    21.52     
1542095273          27.97     35.83     505.00    21.53     
1542095295          28.04     35.90     505.00    21.53     
1542095317          28.08     35.97     505.00    21.53     
1542095339          28.14     36.05     505.00    21.52     
1542095361          28.18     36.11     505.00    21.53     
1542095383          28.23     36.18     505.00    21.52     
1542095405          28.29     36.25     505.00    21.53     
1542095427          28.33     36.32     505.00    21.53     
1542095449          28.39     36.38     505.00    21.52     
1542095471          28.42     36.44     505.00    21.53     
1542095493          28.48     36.50     505.00    21.54     
1542095515          28.52     36.56     505.00    21.53     
1542095537          28.58     36.62     505.00    21.53     
1542095559          28.63     36.67     505.00    21.53     
1542095581          28.66     36.73     505.00    21.53     
1542095603          28.72     36.79     505.00    21.53     
1542095625          28.75     36.84     505.00    21.54     
1542095647          28.80     36.89     505.00    21.52     
1542095669          28.83     36.94     505.00    21.53     
1542095691          28.88     36.99     505.00    21.53     
1542095714          28.92     37.04     505.00    21.53     
1542095736          28.95     37.09     505.00    21.52     
1542095758          29.00     37.13     505.00    21.52     
1542095780          29.02     37.18     505.00    21.52     
1542095802          29.06     37.22     505.00    21.53     
1542095824          29.09     37.26     505.00    21.53     
1542095846          29.13     37.31     505.00    21.53     
1542095868          29.16     37.35     505.00    21.53     
1542095890          29.18     37.39     505.00    21.53     
1542095912          29.23     37.43     505.00    21.52     
1542095934          29.25     37.47     505.00    21.52     
1542095956          29.29     37.51     505.00    21.53     
1542095978          29.31     37.55     505.00    21.53     
1542096000          29.34     37.59     505.00    21.52     
1542096022          29.38     37.62     505.00    21.53     
1542096044          29.39     37.66     505.00    21.52     
1542096066          29.43     37.69     505.00    21.53     
1542096088          29.44     37.73     505.00    21.52     
1542096110          29.48     37.76     505.00    21.53     
1542096132          29.50     37.80     505.00    21.53     
1542096154          29.52     37.83     505.00    21.52     
1542096176          29.55     37.86     505.00    21.52     
1542096198          29.57     37.89     505.00    21.52     
1542096220          29.61     37.92     505.00    21.53     
1542096242          29.62     37.95     505.00    21.53     
1542096264          29.64     37.98     505.00    21.53     
1542096286          29.67     38.01     505.00    21.53     
1542096308          29.69     38.04     505.00    21.52     
1542096330          29.72     38.06     505.00    21.52     
1542096352          29.73     38.09     505.00    21.53     
1542096374          29.76     38.12     505.00    21.53     
1542096396          29.77     38.15     505.00    21.53     
1542096418          29.80     38.17     505.00    21.53     
1542096440          29.81     38.19     505.00    21.53     
1542096462          29.84     38.22     505.00    21.53     
1542096484          29.86     38.24     505.00    21.52     
1542096506          29.86     38.27     505.00    21.52     
1542096528          29.90     38.29     505.00    21.53     
1542096550          29.90     38.31     505.00    21.53     
1542096572          29.92     38.33     505.00    21.53     
1542096595          29.94     38.35     505.00    21.53     
1542096617          29.95     38.37     505.00    21.52     
1542096639          29.98     38.40     505.00    21.53     
1542096661          29.99     38.42     505.00    21.52     
1542096683          30.02     38.44     505.00    21.52     
1542096705          30.02     38.46     505.00    21.52     
1542096727          30.04     38.48     505.00    21.53     
1542096749          30.05     38.50     505.00    21.53     
1542096771          30.06     38.51     505.00    21.52     
1542096793          30.09     38.54     505.00    21.53     
1542096815          30.09     38.55     505.00    21.52     
1542096837          30.12     38.57     505.00    21.53     
1542096859          30.12     38.59     505.00    21.52     
1542096881          30.14     38.60     505.00    21.53     
1542096903          30.14     38.62     505.00    21.53     
1542096925          30.16     38.64     505.00    21.53     
1542096947          30.18     38.66     505.00    21.53     
1542096969          30.18     38.67     505.00    21.53     
1542096991          30.21     38.69     505.00    21.53     
1542097013          30.21     38.70     505.00    21.53     
1542097035          30.23     38.72     505.00    21.54     
1542097057          30.24     38.73     505.00    21.54     
1542097079          30.23     38.74     505.00    21.54     
1542097101          30.26     38.76     505.00    21.53     
1542097123          30.26     38.78     505.00    21.53     
1542097145          30.29     38.79     505.00    21.53     
1542097167          30.29     38.81     505.00    21.53     
1542097189          30.31     38.82     505.00    21.53     
1542097211          30.32     38.84     505.00    21.53     
1542097233          30.32     38.85     505.00    21.53     
1542097255          30.34     38.87     505.00    21.54     
1542097277          30.34     38.88     505.00    21.52     
1542097299          30.36     38.89     505.00    21.53     
1542097321          30.38     38.91     505.00    21.53     
1542097343          30.39     38.92     505.00    21.53     
1542097365          30.41     38.94     505.00    21.52     
1542097387          30.42     38.95     505.00    21.53     
1542097409          30.44     38.97     505.00    21.53     
1542097431          30.43     38.98     505.00    21.53     
1542097453          30.46     38.99     505.00    21.54     
1542097476          30.46     39.01     505.00    21.53     
1542097498          30.48     39.03     505.00    21.54     
1542097520          30.49     39.04     505.00    21.52     
1542097542          30.50     39.05     505.00    21.52     
1542097564          30.52     39.07     505.00    21.53     
1542097586          30.52     39.08     505.00    21.53     
1542097608          30.54     39.10     505.00    21.53     
1542097630          30.55     39.11     505.00    21.53     
1542097652          30.57     39.13     505.00    21.53     
1542097674          30.59     39.14     505.00    21.53     
1542097696          30.59     39.16     505.00    21.54     
1542097718          30.63     39.18     505.00    21.54     
1542097740          30.62     39.19     505.00    21.53     
1542097762          30.64     39.21     505.00    21.53     
1542097784          30.65     39.22     505.00    21.53     
1542097806          30.66     39.24     505.00    21.53     
1542097828          30.68     39.26     505.00    21.53     
1542097850          30.69     39.27     505.00    21.54     
1542097872          30.71     39.28     505.00    21.55     
1542097894          30.71     39.30     505.00    21.54     
1542097916          30.74     39.32     505.00    21.53     
1542097938          30.74     39.33     505.00    21.53     
1542097960          30.75     39.35     505.00    21.54     
1542097982          30.76     39.36     505.00    21.53     
1542098004          30.76     39.37     505.00    21.54     
1542098026          30.78     39.38     505.00    21.54     
1542098048          30.77     39.40     505.00    21.53     
1542098070          30.79     39.41     505.00    21.53     
1542098092          30.80     39.42     505.00    21.52     
1542098114          30.81     39.43     505.00    21.53     
1542098136          30.83     39.44     505.00    21.53     
1542098158          30.82     39.46     505.00    21.53     
1542098180          30.84     39.47     505.00    21.52     
1542098202          30.83     39.48     505.00    21.52     
1542098224          30.85     39.49     505.00    21.53     
1542098246          30.86     39.50     505.00    21.52     
1542098268          30.86     39.51     505.00    21.52     
1542098290          30.87     39.52     505.00    21.52     
1542098312          30.88     39.53     505.00    21.53     
1542098334          30.90     39.55     505.00    21.53     
1542098357          30.89     39.56     505.00    21.53     
1542098379          30.91     39.57     505.00    21.53     
1542098401          30.91     39.57     505.00    21.54     
1542098423          30.92     39.58     505.00    21.53     
1542098445          30.92     39.59     505.00    21.53     
1542098467          30.94     39.61     505.00    21.52     
1542098489          30.94     39.62     505.00    21.53     
1542098511          30.95     39.62     505.00    21.53     
1542098533          30.95     39.63     505.00    21.53     
1542098555          30.95     39.64     505.00    21.53     
1542098577          30.96     39.65     505.00    21.53     
1542098599          30.97     39.66     505.00    21.52     
1542098621          30.97     39.67     505.00    21.53     
1542098643          30.98     39.67     505.00    21.53     
1542098665          30.99     39.68     505.00    21.53     
1542098687          31.00     39.69     505.00    21.53     
1542098709          31.01     39.70     505.00    21.53     
1542098731          31.02     39.71     505.00    21.53     
1542098753          31.03     39.72     505.00    21.53     
1542098775          31.04     39.74     505.00    21.53     
1542098797          31.05     39.78     505.00    21.53     
1542098819          31.07     39.84     505.00    21.54     
1542098841          31.10     39.89     505.00    21.53     
1542098863          31.12     39.95     505.00    21.53     
1542098885          31.16     40.01     505.00    21.53     
1542098907          31.19     40.07     505.00    21.53     
1542098929          31.25     40.13     505.00    21.53     
1542098951          31.28     40.19     505.00    21.53     
1542098973          31.33     40.24     505.00    21.54     
1542098995          31.38     40.30     505.00    21.53     
1542099017          31.42     40.36     505.00    21.53     
1542099039          31.47     40.42     505.00    21.53     
1542099061          31.50     40.48     505.00    21.53     
1542099083          31.56     40.53     505.00    21.52     
1542099105          31.59     40.59     505.00    21.53     
1542099127          31.63     40.64     505.00    21.53     
1542099149          31.66     40.69     505.00    21.53     
1542099171          31.69     40.74     505.00    21.54     
1542099193          31.73     40.79     505.00    21.53     
1542099215          31.77     40.84     505.00    21.53     
1542099238          31.81     40.89     505.00    21.53     
1542099260          31.84     40.94     505.00    21.53     
1542099282          31.89     40.99     505.00    21.53     
1542099304          31.93     41.04     505.00    21.52     
1542099326          31.95     41.08     505.00    21.53     
1542099348          32.01     41.13     505.00    21.53     
1542099370          32.03     41.18     505.00    21.53     
1542099392          32.07     41.22     505.00    21.52     
1542099414          32.09     41.27     505.00    21.53     
1542099436          32.13     41.31     505.00    21.53     
1542099458          32.17     41.35     505.00    21.53     
1542099480          32.19     41.40     505.00    21.52     
1542099502          32.23     41.44     505.00    21.53     
1542099524          32.25     41.48     505.00    21.54     
1542099546          32.28     41.52     505.00    21.53     
1542099568          32.31     41.56     505.00    21.52     
1542099590          32.34     41.60     505.00    21.53     
1542099612          32.37     41.63     505.00    21.52     
1542099634          32.39     41.67     505.00    21.53     
1542099656          32.42     41.71     505.00    21.53     
1542099678          32.43     41.75     505.00    21.53     
1542099700          32.47     41.79     505.00    21.53     
1542099722          32.49     41.82     505.00    21.53     
1542099744          32.52     41.86     505.00    21.54     
1542099766          32.54     41.89     505.00    21.53     
1542099788          32.55     41.92     505.00    21.53     
1542099810          32.59     41.95     505.00    21.54     
1542099832          32.60     41.99     505.00    21.53     
1542099854          32.65     42.02     505.00    21.53     
1542099876          32.66     42.05     505.00    21.53     
1542099898          32.69     42.09     505.00    21.53     
1542099920          32.71     42.12     505.00    21.53     
1542099942          32.73     42.15     505.00    21.52     
1542099964          32.76     42.18     505.00    21.52     
1542099986          32.77     42.21     505.00    21.53     
1542100008          32.80     42.24     505.00    21.52     
1542100030          32.82     42.27     505.00    21.53     
1542100052          32.84     42.30     505.00    21.54     
1542100074          32.86     42.33     505.00    21.54     
1542100097          32.88     42.36     505.00    21.53     
1542100119          32.91     42.39     505.00    21.54     
1542100141          32.92     42.42     505.00    21.52     
1542100163          32.95     42.45     505.00    21.53     
1542100185          32.97     42.47     505.00    21.53     
1542100207          32.99     42.50     505.00    21.53     
1542100229          33.01     42.53     505.00    21.52     
1542100251          33.03     42.56     505.00    21.53     
1542100273          33.05     42.58     505.00    21.52     
1542100295          33.06     42.61     505.00    21.54     
1542100317          33.08     42.64     505.00    21.53     
1542100339          33.09     42.66     505.00    21.53     
1542100361          33.11     42.69     505.00    21.53     
1542100383          33.13     42.71     505.00    21.53     
1542100405          33.15     42.73     505.00    21.53     
1542100427          33.17     42.76     505.00    21.52     
1542100449          33.18     42.78     505.00    21.52     
1542100471          33.21     42.80     505.00    21.53     
1542100493          33.22     42.83     505.00    21.53     
1542100515          33.23     42.86     505.00    21.52     
1542100537          33.25     42.88     505.00    21.52     
1542100559          33.26     42.90     505.00    21.53     
1542100581          33.28     42.92     505.00    21.53     
1542100603          33.29     42.94     505.00    21.52     
1542100625          33.31     42.97     505.00    21.52     
1542100647          33.32     42.99     505.00    21.53     
1542100669          33.34     43.01     505.00    21.53     
1542100691          33.36     43.03     505.00    21.53     
1542100713          33.37     43.05     505.00    21.52     
1542100735          33.39     43.07     505.00    21.53     
1542100757          33.40     43.09     505.00    21.53     
1542100779          33.42     43.11     505.00    21.53     
1542100801          33.43     43.13     505.00    21.53     
1542100823          33.45     43.15     505.00    21.52     
1542100845          33.46     43.17     505.00    21.53     
1542100867          33.47     43.19     505.00    21.53     
1542100889          33.49     43.21     505.00    21.53     
1542100911          33.50     43.23     505.00    21.52     
1542100933          33.52     43.25     505.00    21.53     
1542100955          33.53     43.27     505.00    21.53     
1542100977          33.55     43.29     505.00    21.53     
1542101000          33.56     43.30     505.00    21.53     
1542101022          33.57     43.32     505.00    21.53     
1542101044          33.58     43.34     505.00    21.52     
1542101066          33.59     43.36     505.00    21.53     
1542101088          33.61     43.37     505.00    21.53     
1542101111          33.61     43.39     505.00    21.54     
1542101133          33.64     43.41     505.00    21.53     
1542101155          33.64     43.42     505.00    21.53     
1542101177          33.66     43.45     505.00    21.53     
1542101199          33.67     43.46     505.00    21.53     
1542101221          33.69     43.48     505.00    21.54     
1542101243          33.70     43.50     505.00    21.54     
1542101265          33.71     43.51     505.00    21.54     
1542101287          33.73     43.53     505.00    21.52     
1542101309          33.73     43.55     505.00    21.53     
1542101331          33.76     43.56     505.00    21.53     
1542101353          33.76     43.58     505.00    21.54     
1542101375          33.78     43.60     505.00    21.54     
1542101397          33.78     43.61     505.00    21.54     
1542101419          33.80     43.63     505.00    21.53     
1542101441          33.81     43.64     505.00    21.53     
1542101463          33.81     43.66     505.00    21.53     
1542101485          33.83     43.67     505.00    21.53     
1542101507          33.82     43.68     505.00    21.52     
1542101529          33.84     43.70     505.00    21.53     
1542101551          33.84     43.71     505.00    21.54     
1542101573          33.86     43.73     505.00    21.52     
1542101595          33.87     43.74     505.00    21.53     
1542101617          33.88     43.76     505.00    21.52     
1542101639          33.90     43.77     505.00    21.53     
1542101661          33.90     43.79     505.00    21.53     
1542101683          33.91     43.80     505.00    21.54     
1542101705          33.92     43.81     505.00    21.53     
1542101727          33.93     43.82     505.00    21.54     
1542101749          33.94     43.84     505.00    21.54     
1542101771          33.95     43.85     505.00    21.53     
1542101793          33.97     43.87     505.00    21.54     
1542101815          33.97     43.88     505.00    21.53     
1542101838          33.98     43.89     505.00    21.53     
1542101860          33.99     43.91     505.00    21.53     
1542101882          34.00     43.92     505.00    21.53     
1542101904          34.01     43.93     505.00    21.53     
1542101926          34.02     43.94     505.00    21.53     
1542101948          34.03     43.95     505.00    21.54     
1542101970          34.03     43.97     505.00    21.52     
1542101992          34.05     43.97     505.00    21.53     
1542102014          34.04     43.99     505.00    21.53     
1542102036          34.06     44.00     505.00    21.53     
1542102058          34.06     44.01     505.00    21.53     
1542102080          34.08     44.03     505.00    21.52     
1542102102          34.09     44.04     505.00    21.53     
1542102124          34.09     44.05     505.00    21.53     
1542102146          34.10     44.06     505.00    21.52     
1542102168          34.10     44.07     505.00    21.52     
1542102190          34.11     44.08     505.00    21.53     
1542102212          34.12     44.09     505.00    21.52     
1542102234          34.13     44.10     505.00    21.53     
1542102256          34.14     44.11     505.00    21.53     
1542102278          34.14     44.12     505.00    21.54     
1542102300          34.15     44.13     505.00    21.53     
1542102322          34.16     44.15     505.00    21.53     
1542102344          34.17     44.16     505.00    21.53     
1542102366          34.18     44.16     505.00    21.53     
1542102388          34.19     44.19     505.00    21.53     
1542102410          34.20     44.23     505.00    21.52     
1542102432          34.20     44.27     505.00    21.53     
1542102454          34.23     44.32     505.00    21.54     
1542102476          34.25     44.37     505.00    21.53     
1542102498          34.28     44.42     505.00    21.53     
1542102520          34.31     44.47     505.00    21.52     
1542102542          34.34     44.52     505.00    21.54     
1542102564          34.37     44.57     505.00    21.54     
1542102586          34.40     44.62     505.00    21.53     
1542102608          34.44     44.67     505.00    21.53     
1542102630          34.47     44.72     505.00    21.54     
1542102652          34.50     44.76     505.00    21.53     
1542102674          34.53     44.81     505.00    21.53     
1542102696          34.56     44.85     505.00    21.53     
1542102719          34.59     44.90     505.00    21.54     
1542102741          34.62     44.95     505.00    21.53     
1542102763          34.66     44.99     505.00    21.54     
1542102785          34.68     45.04     505.00    21.53     
1542102807          34.72     45.08     505.00    21.53     
1542102829          34.75     45.12     505.00    21.54     
1542102851          34.78     45.17     505.00    21.54     
1542102873          34.80     45.21     505.00    21.53     
1542102895          34.83     45.26     505.00    21.53     
1542102917          34.87     45.30     505.00    21.54     
1542102939          34.89     45.34     505.00    21.53     
1542102961          34.92     45.38     505.00    21.54     
1542102983          34.95     45.42     505.00    21.53     
1542103005          34.98     45.46     505.00    21.54     
1542103027          35.01     45.50     505.00    21.54     
1542103049          35.03     45.54     505.00    21.53     
1542103071          35.06     45.58     505.00    21.53     
1542103093          35.08     45.62     505.00    21.53     
1542103115          35.11     45.66     505.00    21.53     
1542103137          35.13     45.70     505.00    21.54     
1542103159          35.17     45.74     505.00    21.53     
1542103181          35.19     45.77     505.00    21.53     
1542103203          35.22     45.81     505.00    21.53     
1542103225          35.24     45.85     505.00    21.54     
1542103247          35.26     45.88     505.00    21.53     
1542103269          35.30     45.92     505.00    21.53     
1542103291          35.31     45.96     505.00    21.54     
1542103313          35.34     45.99     505.00    21.54     
1542103335          35.35     46.03     505.00    21.53     
1542103357          35.39     46.06     505.00    21.54     
1542103379          35.41     46.10     505.00    21.53     
1542103401          35.44     46.14     505.00    21.53     
1542103423          35.46     46.17     505.00    21.53     
1542103445          35.48     46.20     505.00    21.54     
1542103467          35.51     46.24     505.00    21.55     
1542103489          35.53     46.27     505.00    21.53     
1542103511          35.55     46.30     505.00    21.54     
1542103533          35.57     46.34     505.00    21.53     
1542103555          35.60     46.37     505.00    21.53     
1542103577          35.62     46.41     505.00    21.54     
1542103600          35.64     46.44     505.00    21.52     
1542103622          35.67     46.47     505.00    21.54     
1542103644          35.68     46.50     505.00    21.54     
1542103666          35.71     46.53     505.00    21.54     
1542103688          35.73     46.56     505.00    21.53     
1542103710          35.75     46.60     505.00    21.54     
1542103732          35.77     46.63     505.00    21.54     
1542103754          35.79     46.66     505.00    21.53     
1542103776          35.82     46.69     505.00    21.54     
1542103798          35.84     46.72     505.00    21.53     
1542103820          35.86     46.75     505.00    21.53     
1542103842          35.87     46.78     505.00    21.53     
1542103864          35.90     46.81     505.00    21.53     
1542103886          35.91     46.84     505.00    21.53     
1542103908          35.94     46.87     505.00    21.52     
1542103930          35.97     46.90     505.00    21.53     
1542103952          35.98     46.93     505.00    21.53     
1542103974          36.00     46.96     505.00    21.54     
1542103996          36.02     46.99     505.00    21.53     
1542104018          36.05     47.02     505.00    21.53     
1542104040          36.06     47.04     505.00    21.53     
1542104062          36.08     47.07     505.00    21.54     
1542104084          36.10     47.10     505.00    21.54     
1542104106          36.11     47.13     505.00    21.53     
1542104128          36.14     47.15     505.00    21.54     
1542104150          36.15     47.18     505.00    21.53     
1542104172          36.18     47.21     505.00    21.53     
1542104194          36.19     47.23     505.00    21.53     
1542104216          36.21     47.26     505.00    21.53     
1542104238          36.22     47.28     505.00    21.53     
1542104260          36.25     47.31     505.00    21.53     
1542104282          36.27     47.34     505.00    21.53     
1542104304          36.28     47.37     505.00    21.54     
1542104326          36.31     47.39     505.00    21.54     
1542104348          36.32     47.42     505.00    21.53     
1542104370          36.34     47.45     505.00    21.54     
1542104392          36.36     47.47     505.00    21.54     
1542104414          36.38     47.49     505.00    21.53     
1542104436          36.40     47.52     505.00    21.54     
1542104459          36.41     47.54     505.00    21.54     
1542104481          36.43     47.57     505.00    21.53     
1542104503          36.44     47.59     505.00    21.54     
1542104525          36.46     47.62     505.00    21.53     
1542104547          36.47     47.64     505.00    21.53     
1542104569          36.48     47.66     505.00    21.53     
1542104591          36.51     47.69     505.00    21.53     
1542104613          36.52     47.72     505.00    21.53     
1542104635          36.55     47.74     505.00    21.52     
1542104657          36.55     47.76     505.00    21.53     
1542104679          36.57     47.79     505.00    21.53     
1542104701          36.59     47.81     505.00    21.53     
1542104723          36.61     47.83     505.00    21.52     
1542104745          36.62     47.85     505.00    21.53     
1542104767          36.64     47.88     505.00    21.52     
1542104789          36.66     47.90     505.00    21.53     
1542104811          36.67     47.92     505.00    21.53     
1542104833          36.69     47.95     505.00    21.53     
1542104855          36.69     47.97     505.00    21.54     
1542104877          36.71     47.99     505.00    21.53     
1542104899          36.73     48.01     505.00    21.53     
1542104921          36.74     48.03     505.00    21.54     
1542104943          36.76     48.06     505.00    21.54     
1542104965          36.77     48.08     505.00    21.53     
1542104987          36.78     48.10     505.00    21.54     
1542105009          36.80     48.12     505.00    21.54     
1542105031          36.80     48.14     505.00    21.54     
1542105053          36.83     48.16     505.00    21.53     
1542105075          36.84     48.18     505.00    21.52     
1542105097          36.86     48.20     505.00    21.54     
1542105119          36.86     48.23     505.00    21.54     
1542105141          36.88     48.25     505.00    21.53     
1542105163          36.89     48.27     505.00    21.53     
1542105185          36.91     48.29     505.00    21.53     
1542105207          36.93     48.31     505.00    21.54     
1542105229          36.94     48.33     505.00    21.53     
1542105251          36.95     48.35     505.00    21.53     
1542105273          36.96     48.37     505.00    21.52     
1542105295          36.98     48.39     505.00    21.52     
1542105317          36.99     48.41     505.00    21.53     
1542105340          37.00     48.43     505.00    21.52     
1542105362          37.01     48.45     505.00    21.53     
1542105384          37.03     48.47     505.00    21.53     
1542105406          37.05     48.49     505.00    21.53     
1542105428          37.06     48.51     505.00    21.53     
1542105450          37.06     48.52     505.00    21.53     
1542105472          37.08     48.54     505.00    21.53     
1542105494          37.09     48.56     505.00    21.53     
1542105516          37.11     48.58     505.00    21.54     
1542105538          37.12     48.60     505.00    21.54     
1542105560          37.13     48.61     505.00    21.53     
1542105582          37.14     48.64     505.00    21.54     
1542105604          37.15     48.65     505.00    21.55     
1542105626          37.16     48.67     505.00    21.53     
1542105648          37.17     48.69     505.00    21.53     
1542105670          37.18     48.71     505.00    21.53     
1542105692          37.20     48.73     505.00    21.54     
1542105714          37.21     48.74     505.00    21.53     
1542105736          37.22     48.76     505.00    21.54     
1542105758          37.24     48.78     505.00    21.53     
1542105780          37.25     48.80     505.00    21.54     
1542105802          37.25     48.81     505.00    21.53     
1542105824          37.26     48.83     505.00    21.54     
1542105846          37.28     48.85     505.00    21.54     
1542105868          37.29     48.86     505.00    21.54     
1542105890          37.30     48.88     505.00    21.54     
1542105912          37.31     48.90     505.00    21.53     
1542105934          37.32     48.91     505.00    21.53     
1542105956          37.34     48.93     505.00    21.54     
1542105978          37.35     48.95     505.00    21.54     
1542106000          37.36     48.98     505.00    21.54     
1542106022          37.38     49.02     505.00    21.53     
1542106044          37.38     49.07     505.00    21.54     
1542106066          37.41     49.12     505.00    21.53     
1542106088          37.43     49.17     505.00    21.53     
1542106110          37.46     49.21     505.00    21.54     
1542106132          37.48     49.26     505.00    21.54     
1542106154          37.50     49.31     505.00    21.54     
1542106176          37.54     49.35     505.00    21.53     
1542106198          37.56     49.40     505.00    21.54     
1542106221          37.59     49.45     505.00    21.54     
1542106243          37.62     49.49     505.00    21.54     
1542106265          37.65     49.54     505.00    21.54     
1542106287          37.67     49.58     505.00    21.53     
1542106309          37.70     49.63     505.00    21.53     
1542106331          37.73     49.67     505.00    21.54     
1542106353          37.76     49.72     505.00    21.53     
1542106375          37.80     49.76     505.00    21.53     
1542106397          37.82     49.81     505.00    21.54     
1542106419          37.85     49.85     505.00    21.54     
1542106441          37.87     49.90     505.00    21.54     
1542106463          37.91     49.94     505.00    21.53     
1542106485          37.94     49.98     505.00    21.54     
1542106507          37.96     50.03     505.00    21.54     
1542106529          38.00     50.07     505.00    21.54     
1542106551          38.02     50.11     505.00    21.54     
1542106573          38.05     50.15     505.00    21.54     
1542106595          38.07     50.19     505.00    21.53     
1542106617          38.10     50.23     505.00    21.54     
1542106639          38.13     50.27     505.00    21.54     
1542106661          38.15     50.32     505.00    21.54     
1542106683          38.19     50.36     505.00    21.54     
1542106705          38.21     50.40     505.00    21.54     
1542106727          38.23     50.44     505.00    21.54     
1542106749          38.25     50.48     505.00    21.54     
1542106771          38.28     50.52     505.00    21.54     
1542106793          38.31     50.56     505.00    21.55     
1542106815          38.34     50.60     505.00    21.55     
1542106837          38.37     50.64     505.00    21.54     
1542106859          38.38     50.68     505.00    21.54     
1542106881          38.40     50.71     505.00    21.54     
1542106903          38.44     50.75     505.00    21.54     
1542106925          38.46     50.79     505.00    21.53     
1542106947          38.49     50.83     505.00    21.54     
1542106969          38.51     50.87     505.00    21.53     
1542106991          38.52     50.90     505.00    21.54     
1542107013          38.55     50.94     505.00    21.54     
1542107035          38.58     50.98     505.00    21.54     
1542107057          38.60     51.02     505.00    21.54     
1542107079          38.63     51.05     505.00    21.54     
1542107102          38.65     51.09     505.00    21.53     
1542107124          38.67     51.12     505.00    21.54     
1542107146          38.70     51.16     505.00    21.54     
1542107168          38.72     51.20     505.00    21.54     
1542107190          38.74     51.23     505.00    21.53     
1542107212          38.76     51.27     505.00    21.54     
1542107234          38.79     51.30     505.00    21.53     
1542107256          38.82     51.34     505.00    21.53     
1542107278          38.84     51.37     505.00    21.54     
1542107300          38.86     51.41     505.00    21.53     
1542107322          38.88     51.45     505.00    21.53     
1542107344          38.91     51.48     505.00    21.52     
1542107366          38.92     51.51     505.00    21.53     
1542107388          38.95     51.55     505.00    21.54     
1542107410          38.96     51.58     505.00    21.53     
1542107432          38.99     51.61     505.00    21.53     
1542107454          39.01     51.65     505.00    21.54     
1542107476          39.03     51.68     505.00    21.53     
1542107498          39.06     51.71     505.00    21.53     
1542107520          39.07     51.74     505.00    21.53     
1542107542          39.10     51.78     505.00    21.53     
1542107564          39.11     51.81     505.00    21.54     
1542107586          39.13     51.84     505.00    21.54     
1542107608          39.16     51.88     505.00    21.54     
1542107630          39.18     51.91     505.00    21.54     
1542107652          39.21     51.94     505.00    21.53     
1542107674          39.22     51.97     505.00    21.54     
1542107696          39.25     52.01     505.00    21.54     
1542107718          39.27     52.03     505.00    21.54     
1542107740          39.29     52.07     505.00    21.54     
1542107762          39.31     52.10     505.00    21.53     
1542107784          39.33     52.13     505.00    21.53     
1542107806          39.35     52.16     505.00    21.53     
1542107828          39.37     52.19     505.00    21.53     
1542107850          39.39     52.22     505.00    21.54     
1542107872          39.41     52.25     505.00    21.54     
1542107894          39.43     52.28     505.00    21.53     
1542107916          39.45     52.31     505.00    21.53     
1542107938          39.47     52.34     505.00    21.54     
1542107960          39.48     52.37     505.00    21.54     
1542107982          39.50     52.40     505.00    21.54     
1542108005          39.53     52.43     505.00    21.54     
1542108027          39.54     52.46     505.00    21.54     
1542108049          39.57     52.49     505.00    21.53     
1542108071          39.59     52.52     505.00    21.53     
1542108093          39.60     52.55     505.00    21.53     
1542108115          39.62     52.58     505.00    21.53     
1542108137          39.63     52.60     505.00    21.53     
1542108159          39.65     52.63     505.00    21.54     
1542108181          39.67     52.66     505.00    21.53     
1542108203          39.70     52.70     505.00    21.54     
