Time [sec]          Ch A [K]  Ch A [K]  
1539513820          49.07     49.07     
1539513862          49.10     49.10     
1539513904          49.10     49.10     
1539513946          49.07     49.07     
1539513988          49.04     49.04     
1539514031          49.07     49.07     
1539514073          49.08     49.08     
1539514115          49.08     49.08     
1539514157          49.10     49.10     
1539514199          49.11     49.11     
1539514241          49.11     49.11     
1539514283          49.11     49.11     
1539514325          49.11     49.11     
1539514367          49.12     49.12     
1539514409          49.11     49.11     
1539514451          49.14     49.14     
1539514493          49.14     49.14     
1539514535          49.14     49.14     
1539514577          49.15     49.15     
1539514619          49.14     49.14     
1539514661          49.15     49.15     
1539514703          49.15     49.15     
1539514745          49.15     49.15     
1539514787          49.16     49.16     
1539514829          49.15     49.15     
1539514871          49.15     49.15     
1539514913          49.16     49.16     
1539514955          49.15     49.15     
1539514997          49.16     49.16     
1539515040          49.16     49.16     
1539515082          49.16     49.16     
1539515124          49.16     49.16     
1539515166          49.17     49.17     
1539515208          49.17     49.17     
1539515250          49.18     49.18     
1539515292          49.19     49.19     
1539515334          49.19     49.19     
1539515376          49.19     49.19     
1539515418          49.19     49.19     
1539515460          49.20     49.20     
1539515502          49.20     49.20     
1539515544          49.20     49.20     
1539515586          49.20     49.20     
1539515628          49.20     49.20     
1539515670          49.20     49.20     
1539515712          49.20     49.20     
1539515754          49.18     49.18     
1539515796          49.21     49.21     
1539515838          49.22     49.22     
1539515880          49.21     49.21     
1539515922          49.24     49.24     
1539515964          49.26     49.26     
1539516007          49.26     49.26     
1539516049          49.26     49.26     
1539516091          49.26     49.26     
1539516133          49.26     49.26     
1539516175          49.27     49.27     
1539516217          49.28     49.28     
1539516259          49.28     49.28     
1539516301          49.28     49.28     
1539516343          49.30     49.30     
1539516385          49.30     49.30     
1539516427          49.30     49.30     
1539516469          49.31     49.31     
1539516511          49.32     49.32     
1539516553          49.32     49.32     
1539516595          49.33     49.33     
1539516637          49.33     49.33     
1539516679          49.33     49.33     
1539516721          49.32     49.32     
1539516763          49.30     49.30     
1539516805          49.25     49.25     
1539516847          49.27     49.27     
1539516889          49.29     49.29     
1539516931          49.29     49.29     
1539516974          49.28     49.28     
1539517016          49.30     49.30     
1539517058          49.31     49.31     
1539517100          49.32     49.32     
1539517142          49.30     49.30     
1539517184          49.34     49.34     
1539517226          49.35     49.35     
1539517268          49.35     49.35     
1539517310          49.35     49.35     
1539517352          49.35     49.35     
1539517394          49.36     49.36     
1539517436          49.37     49.37     
1539517478          49.37     49.37     
1539517520          49.38     49.38     
1539517562          49.39     49.39     
1539517604          49.41     49.41     
1539517646          49.41     49.41     
1539517688          49.41     49.41     
1539517730          49.42     49.42     
1539517772          49.43     49.43     
1539517814          49.44     49.44     
1539517856          49.44     49.44     
1539517898          49.45     49.45     
1539517940          49.45     49.45     
1539517982          49.46     49.46     
1539518024          49.46     49.46     
1539518067          49.45     49.45     
1539518109          49.45     49.45     
1539518151          49.44     49.44     
1539518193          49.44     49.44     
1539518235          49.40     49.40     
1539518277          49.43     49.43     
1539518319          49.44     49.44     
1539518361          49.44     49.44     
1539518403          49.44     49.44     
1539518445          49.43     49.43     
1539518487          49.43     49.43     
1539518529          49.43     49.43     
1539518571          49.43     49.43     
1539518613          49.43     49.43     
1539518655          49.43     49.43     
1539518697          49.43     49.43     
1539518739          49.43     49.43     
1539518781          49.43     49.43     
1539518823          49.43     49.43     
1539518865          49.43     49.43     
1539518907          49.43     49.43     
1539518949          49.43     49.43     
1539518991          49.43     49.43     
1539519033          49.43     49.43     
1539519076          49.43     49.43     
1539519118          49.43     49.43     
1539519160          49.42     49.42     
1539519202          49.43     49.43     
1539519244          49.43     49.43     
1539519286          49.44     49.44     
1539519328          49.45     49.45     
1539519370          49.47     49.47     
1539519412          49.48     49.48     
1539519454          49.48     49.48     
1539519496          49.48     49.48     
1539519538          49.49     49.49     
1539519580          49.49     49.49     
1539519622          49.50     49.50     
1539519664          49.50     49.50     
1539519706          49.50     49.50     
1539519748          49.51     49.51     
1539519790          49.51     49.51     
1539519832          49.52     49.52     
1539519874          49.51     49.51     
1539519916          49.51     49.51     
1539519958          49.50     49.50     
1539520001          49.51     49.51     
1539520043          49.51     49.51     
1539520085          49.50     49.50     
1539520127          49.51     49.51     
1539520169          49.51     49.51     
1539520211          49.50     49.50     
1539520253          49.52     49.52     
1539520295          49.51     49.51     
1539520337          49.53     49.53     
1539520379          49.54     49.54     
1539520421          49.54     49.54     
1539520463          49.54     49.54     
1539520505          49.55     49.55     
1539520547          49.54     49.54     
1539520589          49.54     49.54     
1539520631          49.54     49.54     
1539520673          49.56     49.56     
1539520715          49.59     49.59     
1539520757          49.61     49.61     
1539520799          49.62     49.62     
1539520841          49.62     49.62     
1539520883          49.61     49.61     
1539520925          49.61     49.61     
1539520967          49.60     49.60     
1539521010          49.60     49.60     
1539521052          49.62     49.62     
1539521094          49.63     49.63     
1539521136          49.64     49.64     
1539521178          49.65     49.65     
1539521220          49.66     49.66     
1539521262          49.66     49.66     
1539521304          49.66     49.66     
1539521346          49.66     49.66     
1539521388          49.67     49.67     
1539521430          49.68     49.68     
1539521472          49.68     49.68     
1539521514          49.67     49.67     
1539521556          49.67     49.67     
1539521598          49.68     49.68     
1539521640          49.68     49.68     
1539521682          49.68     49.68     
1539521724          49.69     49.69     
1539521766          49.69     49.69     
1539521808          49.69     49.69     
1539521850          49.68     49.68     
1539521892          49.68     49.68     
1539521934          49.69     49.69     
1539521976          49.66     49.66     
1539522019          49.68     49.68     
1539522061          49.68     49.68     
1539522103          49.68     49.68     
1539522145          49.66     49.66     
1539522187          49.67     49.67     
1539522229          49.67     49.67     
1539522271          49.65     49.65     
1539522313          49.65     49.65     
1539522355          49.62     49.62     
1539522397          49.62     49.62     
1539522439          49.62     49.62     
1539522481          49.59     49.59     
1539522523          49.59     49.59     
1539522565          49.59     49.59     
1539522607          49.59     49.59     
1539522649          49.59     49.59     
1539522691          49.58     49.58     
1539522733          49.58     49.58     
1539522775          49.57     49.57     
1539522817          49.56     49.56     
1539522859          49.56     49.56     
1539522901          49.55     49.55     
1539522943          49.55     49.55     
1539522985          49.55     49.55     
1539523028          49.51     49.51     
1539523070          49.55     49.55     
1539523112          49.56     49.56     
1539523154          49.56     49.56     
1539523196          49.57     49.57     
1539523238          49.57     49.57     
1539523280          49.58     49.58     
1539523322          49.58     49.58     
1539523364          49.57     49.57     
1539523406          49.55     49.55     
1539523448          49.58     49.58     
1539523490          49.57     49.57     
1539523532          49.57     49.57     
1539523574          49.58     49.58     
1539523616          49.58     49.58     
1539523658          49.59     49.59     
1539523700          49.59     49.59     
1539523742          49.59     49.59     
1539523784          49.59     49.59     
1539523826          49.58     49.58     
1539523868          49.58     49.58     
1539523910          49.57     49.57     
1539523952          49.58     49.58     
1539523994          49.58     49.58     
1539524037          49.57     49.57     
1539524079          49.56     49.56     
1539524121          49.56     49.56     
1539524163          49.56     49.56     
1539524205          49.58     49.58     
1539524247          49.60     49.60     
1539524289          49.63     49.63     
1539524331          49.65     49.65     
1539524373          49.68     49.68     
1539524415          49.70     49.70     
1539524457          49.72     49.72     
1539524499          49.73     49.73     
1539524541          49.71     49.71     
1539524583          49.69     49.69     
1539524625          49.67     49.67     
1539524667          49.65     49.65     
1539524709          49.63     49.63     
1539524751          49.60     49.60     
1539524793          49.60     49.60     
1539524835          49.59     49.59     
1539524877          49.59     49.59     
1539524919          49.58     49.58     
1539524961          49.58     49.58     
1539525004          49.57     49.57     
1539525046          49.56     49.56     
1539525088          49.53     49.53     
1539525130          49.54     49.54     
1539525172          49.53     49.53     
1539525214          49.54     49.54     
1539525256          49.53     49.53     
1539525298          49.53     49.53     
1539525340          49.53     49.53     
1539525382          49.52     49.52     
1539525424          49.51     49.51     
1539525466          49.51     49.51     
1539525508          49.49     49.49     
1539525551          49.49     49.49     
1539525593          49.50     49.50     
1539525635          49.48     49.48     
1539525677          49.53     49.53     
1539525719          49.54     49.54     
1539525761          49.53     49.53     
1539525803          49.54     49.54     
1539525845          49.54     49.54     
1539525887          49.55     49.55     
1539525929          49.55     49.55     
1539525971          49.55     49.55     
1539526013          49.55     49.55     
1539526055          49.55     49.55     
1539526097          49.55     49.55     
1539526139          49.55     49.55     
1539526181          49.54     49.54     
1539526224          49.55     49.55     
1539526266          49.55     49.55     
1539526308          49.55     49.55     
1539526350          49.56     49.56     
1539526392          49.56     49.56     
1539526434          49.56     49.56     
1539526476          49.54     49.54     
1539526518          49.55     49.55     
1539526560          49.55     49.55     
1539526602          49.56     49.56     
1539526644          49.57     49.57     
1539526686          49.56     49.56     
1539526728          49.56     49.56     
1539526770          49.56     49.56     
1539526812          49.56     49.56     
1539526854          49.56     49.56     
1539526896          49.57     49.57     
1539526938          49.58     49.58     
1539526980          49.54     49.54     
1539527022          49.57     49.57     
1539527064          49.59     49.59     
1539527106          49.59     49.59     
1539527148          49.58     49.58     
1539527190          49.58     49.58     
1539527233          49.57     49.57     
1539527275          49.56     49.56     
1539527317          49.56     49.56     
1539527359          49.56     49.56     
1539527401          49.55     49.55     
1539527443          49.55     49.55     
1539527485          49.55     49.55     
1539527527          49.54     49.54     
1539527569          49.54     49.54     
1539527611          49.53     49.53     
1539527653          49.54     49.54     
1539527695          49.53     49.53     
1539527737          49.53     49.53     
1539527779          49.52     49.52     
1539527821          49.52     49.52     
1539527863          49.51     49.51     
1539527905          49.50     49.50     
1539527947          49.50     49.50     
1539527989          49.50     49.50     
1539528031          49.50     49.50     
1539528073          49.50     49.50     
1539528115          49.50     49.50     
1539528157          49.50     49.50     
1539528199          49.51     49.51     
1539528242          49.51     49.51     
1539528284          49.51     49.51     
1539528326          49.51     49.51     
1539528368          49.51     49.51     
1539528410          49.52     49.52     
1539528452          49.52     49.52     
1539528494          49.52     49.52     
1539528536          49.52     49.52     
1539528578          49.51     49.51     
1539528620          49.51     49.51     
1539528662          49.50     49.50     
1539528704          49.50     49.50     
1539528746          49.50     49.50     
1539528788          49.50     49.50     
1539528830          49.50     49.50     
1539528872          49.50     49.50     
1539528914          49.50     49.50     
1539528956          49.50     49.50     
1539528998          49.49     49.49     
1539529040          49.49     49.49     
1539529082          49.49     49.49     
1539529124          49.49     49.49     
1539529167          49.51     49.51     
1539529209          49.52     49.52     
1539529251          49.53     49.53     
1539529293          49.54     49.54     
1539529335          49.54     49.54     
1539529377          49.54     49.54     
1539529419          49.54     49.54     
1539529461          49.53     49.53     
1539529503          49.53     49.53     
1539529545          49.52     49.52     
1539529587          49.52     49.52     
1539529629          49.52     49.52     
1539529671          49.52     49.52     
1539529713          49.52     49.52     
1539529755          49.51     49.51     
1539529797          49.50     49.50     
1539529839          49.49     49.49     
1539529881          49.49     49.49     
1539529923          49.48     49.48     
1539529965          49.47     49.47     
1539530007          49.48     49.48     
1539530049          49.49     49.49     
1539530091          49.51     49.51     
1539530133          49.52     49.52     
1539530176          49.54     49.54     
1539530218          49.55     49.55     
1539530260          49.56     49.56     
1539530302          49.55     49.55     
1539530344          49.55     49.55     
1539530386          49.53     49.53     
1539530428          49.52     49.52     
1539530470          49.51     49.51     
1539530512          49.50     49.50     
1539530554          49.51     49.51     
1539530596          49.52     49.52     
1539530638          49.52     49.52     
1539530680          49.51     49.51     
1539530722          49.50     49.50     
1539530764          49.49     49.49     
1539530806          49.50     49.50     
1539530848          49.51     49.51     
1539530890          49.50     49.50     
1539530932          49.50     49.50     
1539530974          49.50     49.50     
1539531016          49.50     49.50     
1539531058          49.52     49.52     
1539531100          49.52     49.52     
1539531143          49.52     49.52     
1539531185          49.50     49.50     
1539531227          49.53     49.53     
1539531269          49.53     49.53     
1539531311          49.54     49.54     
1539531353          49.54     49.54     
1539531395          49.55     49.55     
1539531437          49.55     49.55     
1539531479          49.53     49.53     
1539531521          49.53     49.53     
1539531563          49.53     49.53     
1539531605          49.52     49.52     
1539531647          49.49     49.49     
1539531689          49.50     49.50     
1539531731          49.49     49.49     
1539531773          49.48     49.48     
1539531815          49.48     49.48     
1539531857          49.46     49.46     
1539531899          49.47     49.47     
1539531941          49.46     49.46     
1539531983          49.46     49.46     
1539532025          49.48     49.48     
1539532067          49.48     49.48     
1539532109          49.46     49.46     
1539532151          49.47     49.47     
1539532193          49.47     49.47     
1539532236          49.48     49.48     
1539532278          49.48     49.48     
1539532320          49.48     49.48     
1539532362          49.47     49.47     
1539532404          49.47     49.47     
1539532446          49.46     49.46     
1539532488          49.45     49.45     
1539532530          49.45     49.45     
1539532572          49.44     49.44     
1539532614          49.42     49.42     
1539532656          49.44     49.44     
1539532698          49.45     49.45     
1539532740          49.45     49.45     
1539532783          49.44     49.44     
1539532825          49.44     49.44     
1539532867          49.43     49.43     
1539532909          49.42     49.42     
1539532951          49.42     49.42     
1539532993          49.43     49.43     
1539533035          49.42     49.42     
1539533077          49.41     49.41     
1539533119          49.41     49.41     
1539533161          49.40     49.40     
1539533203          49.38     49.38     
1539533245          49.38     49.38     
1539533287          49.36     49.36     
1539533329          49.38     49.38     
1539533371          49.38     49.38     
1539533413          49.37     49.37     
1539533455          49.37     49.37     
1539533497          49.40     49.40     
1539533539          49.44     49.44     
1539533581          49.47     49.47     
1539533624          49.47     49.47     
1539533666          49.45     49.45     
1539533708          49.44     49.44     
1539533750          49.42     49.42     
1539533792          49.40     49.40     
1539533834          49.39     49.39     
1539533876          49.38     49.38     
1539533918          49.37     49.37     
1539533960          49.36     49.36     
1539534002          49.37     49.37     
1539534044          49.37     49.37     
1539534086          49.37     49.37     
1539534128          49.39     49.39     
1539534170          49.41     49.41     
1539534212          49.41     49.41     
1539534254          49.41     49.41     
1539534296          49.41     49.41     
1539534338          49.40     49.40     
1539534380          49.42     49.42     
1539534422          49.42     49.42     
1539534464          49.41     49.41     
1539534506          49.39     49.39     
1539534548          49.39     49.39     
1539534590          49.38     49.38     
1539534633          49.37     49.37     
1539534675          49.36     49.36     
1539534717          49.36     49.36     
1539534759          49.36     49.36     
1539534801          49.36     49.36     
1539534843          49.36     49.36     
1539534885          49.35     49.35     
1539534927          49.35     49.35     
1539534969          49.34     49.34     
1539535011          49.33     49.33     
1539535053          49.32     49.32     
1539535095          49.32     49.32     
1539535137          49.31     49.31     
1539535179          49.31     49.31     
1539535221          49.30     49.30     
1539535263          49.29     49.29     
1539535305          49.28     49.28     
1539535347          49.28     49.28     
1539535389          49.29     49.29     
1539535431          49.29     49.29     
1539535473          49.30     49.30     
1539535515          49.30     49.30     
1539535557          49.29     49.29     
1539535599          49.31     49.31     
1539535642          49.31     49.31     
1539535684          49.31     49.31     
1539535726          49.31     49.31     
1539535768          49.31     49.31     
1539535810          49.31     49.31     
1539535852          49.31     49.31     
1539535894          49.31     49.31     
1539535936          49.31     49.31     
1539535978          49.31     49.31     
1539536020          49.32     49.32     
1539536062          49.31     49.31     
1539536104          49.30     49.30     
1539536146          49.30     49.30     
1539536188          49.30     49.30     
1539536230          49.30     49.30     
1539536272          49.30     49.30     
1539536314          49.30     49.30     
1539536356          49.31     49.31     
1539536398          49.31     49.31     
1539536440          49.32     49.32     
1539536482          49.33     49.33     
1539536524          49.33     49.33     
1539536567          49.33     49.33     
1539536609          49.34     49.34     
1539536651          49.34     49.34     
1539536693          49.35     49.35     
1539536735          49.36     49.36     
1539536777          49.36     49.36     
1539536819          49.37     49.37     
1539536861          49.38     49.38     
1539536903          49.39     49.39     
1539536945          49.42     49.42     
1539536987          49.43     49.43     
1539537029          49.45     49.45     
1539537071          49.46     49.46     
1539537113          49.45     49.45     
1539537155          49.46     49.46     
1539537197          49.46     49.46     
1539537239          49.47     49.47     
1539537281          49.48     49.48     
1539537323          49.49     49.49     
1539537365          49.47     49.47     
1539537407          49.50     49.50     
1539537449          49.50     49.50     
1539537491          49.49     49.49     
1539537533          49.49     49.49     
1539537575          49.49     49.49     
1539537618          49.47     49.47     
1539537660          49.45     49.45     
1539537702          49.46     49.46     
1539537744          49.45     49.45     
1539537786          49.44     49.44     
1539537828          49.44     49.44     
1539537870          49.42     49.42     
1539537912          49.41     49.41     
1539537954          49.40     49.40     
1539537996          49.39     49.39     
1539538038          49.38     49.38     
1539538080          49.37     49.37     
1539538122          49.37     49.37     
1539538164          49.36     49.36     
1539538206          49.35     49.35     
1539538248          49.34     49.34     
1539538290          49.33     49.33     
1539538332          49.33     49.33     
1539538374          49.33     49.33     
1539538416          49.33     49.33     
1539538458          49.33     49.33     
1539538500          49.33     49.33     
1539538542          49.33     49.33     
1539538584          49.33     49.33     
1539538627          49.33     49.33     
1539538669          49.32     49.32     
1539538711          49.32     49.32     
1539538753          49.31     49.31     
1539538795          49.32     49.32     
1539538837          49.31     49.31     
1539538879          49.30     49.30     
1539538921          49.30     49.30     
1539538963          49.24     49.24     
1539539005          49.30     49.30     
1539539047          49.28     49.28     
1539539089          49.29     49.29     
1539539131          49.29     49.29     
1539539173          49.28     49.28     
1539539215          49.25     49.25     
1539539257          49.29     49.29     
1539539299          49.27     49.27     
1539539341          49.29     49.29     
1539539383          49.29     49.29     
1539539425          49.30     49.30     
1539539467          49.29     49.29     
1539539509          49.29     49.29     
1539539551          49.28     49.28     
1539539593          49.29     49.29     
1539539636          49.29     49.29     
1539539678          49.26     49.26     
1539539720          49.29     49.29     
1539539762          49.29     49.29     
1539539804          49.30     49.30     
1539539846          49.26     49.26     
1539539888          49.28     49.28     
1539539930          49.29     49.29     
1539539972          49.29     49.29     
1539540014          49.30     49.30     
1539540056          49.30     49.30     
1539540098          49.30     49.30     
1539540140          49.30     49.30     
1539540182          49.31     49.31     
1539540224          49.31     49.31     
1539540266          49.31     49.31     
1539540308          49.31     49.31     
1539540350          49.31     49.31     
1539540392          49.32     49.32     
1539540434          49.32     49.32     
1539540476          49.32     49.32     
1539540518          49.33     49.33     
1539540560          49.34     49.34     
1539540602          49.29     49.29     
1539540645          49.34     49.34     
1539540687          49.34     49.34     
1539540729          49.35     49.35     
1539540771          49.35     49.35     
1539540813          49.34     49.34     
1539540855          49.35     49.35     
1539540897          49.35     49.35     
1539540939          49.35     49.35     
1539540981          49.35     49.35     
1539541023          49.35     49.35     
1539541065          49.36     49.36     
1539541107          49.36     49.36     
1539541149          49.36     49.36     
1539541191          49.37     49.37     
1539541233          49.37     49.37     
1539541275          49.38     49.38     
1539541317          49.38     49.38     
1539541359          49.39     49.39     
1539541401          49.37     49.37     
1539541443          49.39     49.39     
1539541485          49.39     49.39     
1539541527          49.39     49.39     
1539541569          49.39     49.39     
1539541611          49.39     49.39     
1539541653          49.40     49.40     
1539541696          49.40     49.40     
1539541738          49.40     49.40     
1539541780          49.40     49.40     
1539541822          49.41     49.41     
1539541864          49.41     49.41     
1539541906          49.41     49.41     
1539541948          49.41     49.41     
1539541990          49.41     49.41     
1539542032          49.41     49.41     
1539542074          49.41     49.41     
1539542116          49.42     49.42     
1539542158          49.42     49.42     
1539542200          49.42     49.42     
1539542242          49.44     49.44     
1539542284          49.44     49.44     
1539542326          49.45     49.45     
1539542368          49.44     49.44     
1539542410          49.37     49.37     
1539542452          49.44     49.44     
1539542494          49.47     49.47     
1539542536          49.48     49.48     
1539542578          49.48     49.48     
1539542620          49.48     49.48     
1539542663          49.51     49.51     
1539542705          49.50     49.50     
1539542747          49.50     49.50     
1539542789          49.50     49.50     
1539542831          49.50     49.50     
1539542873          49.51     49.51     
1539542915          49.51     49.51     
1539542957          49.52     49.52     
1539542999          49.52     49.52     
1539543041          49.52     49.52     
1539543083          49.53     49.53     
1539543125          49.54     49.54     
1539543167          49.54     49.54     
1539543209          49.55     49.55     
1539543251          49.55     49.55     
1539543293          49.55     49.55     
1539543335          49.54     49.54     
1539543377          49.55     49.55     
1539543419          49.54     49.54     
1539543461          49.55     49.55     
1539543503          49.56     49.56     
1539543545          49.57     49.57     
1539543587          49.57     49.57     
1539543629          49.56     49.56     
1539543671          49.56     49.56     
1539543714          49.55     49.55     
1539543756          49.55     49.55     
1539543798          49.55     49.55     
1539543840          49.54     49.54     
1539543882          49.53     49.53     
1539543924          49.54     49.54     
1539543966          49.53     49.53     
1539544008          49.53     49.53     
1539544050          49.53     49.53     
1539544092          49.54     49.54     
1539544134          49.54     49.54     
1539544176          49.55     49.55     
1539544218          49.55     49.55     
1539544260          49.55     49.55     
1539544302          49.55     49.55     
1539544344          49.55     49.55     
1539544386          49.55     49.55     
1539544428          49.54     49.54     
1539544470          49.55     49.55     
1539544512          49.55     49.55     
1539544554          49.55     49.55     
1539544596          49.55     49.55     
1539544638          49.55     49.55     
1539544680          49.55     49.55     
1539544722          49.55     49.55     
1539544765          49.55     49.55     
1539544807          49.55     49.55     
1539544849          49.55     49.55     
1539544891          49.56     49.56     
1539544933          49.54     49.54     
1539544975          49.56     49.56     
1539545017          49.56     49.56     
1539545059          49.56     49.56     
1539545101          49.56     49.56     
1539545143          49.55     49.55     
1539545185          49.54     49.54     
1539545227          49.54     49.54     
1539545269          49.53     49.53     
1539545311          49.54     49.54     
1539545353          49.54     49.54     
1539545395          49.53     49.53     
1539545437          49.54     49.54     
1539545479          49.55     49.55     
1539545521          49.56     49.56     
1539545563          49.55     49.55     
1539545605          49.56     49.56     
1539545647          49.56     49.56     
1539545689          49.56     49.56     
1539545731          49.57     49.57     
1539545774          49.57     49.57     
1539545816          49.57     49.57     
1539545858          49.58     49.58     
1539545900          49.58     49.58     
1539545942          49.59     49.59     
1539545984          49.59     49.59     
1539546026          49.60     49.60     
1539546068          49.61     49.61     
1539546110          49.62     49.62     
1539546152          49.62     49.62     
1539546194          49.62     49.62     
1539546236          49.62     49.62     
1539546278          49.60     49.60     
1539546320          49.61     49.61     
1539546362          49.60     49.60     
1539546404          49.60     49.60     
1539546446          49.60     49.60     
1539546488          49.58     49.58     
1539546530          49.60     49.60     
1539546572          49.58     49.58     
1539546614          49.59     49.59     
1539546656          49.58     49.58     
1539546699          49.57     49.57     
1539546741          49.58     49.58     
1539546783          49.59     49.59     
1539546825          49.59     49.59     
1539546867          49.58     49.58     
1539546909          49.58     49.58     
1539546951          49.60     49.60     
1539546993          49.62     49.62     
1539547035          49.65     49.65     
1539547077          49.67     49.67     
1539547119          49.69     49.69     
1539547161          49.74     49.74     
1539547203          49.80     49.80     
1539547245          49.84     49.84     
1539547287          49.88     49.88     
1539547329          49.92     49.92     
1539547371          49.95     49.95     
1539547413          49.97     49.97     
1539547455          49.99     49.99     
1539547497          50.01     50.01     
1539547539          50.03     50.03     
1539547581          50.04     50.04     
1539547623          50.05     50.05     
1539547666          50.06     50.06     
1539547708          50.07     50.07     
1539547750          50.08     50.08     
1539547792          50.09     50.09     
1539547834          50.09     50.09     
1539547876          50.10     50.10     
1539547918          50.08     50.08     
1539547960          50.11     50.11     
1539548002          50.11     50.11     
1539548044          50.11     50.11     
1539548086          50.11     50.11     
1539548128          50.11     50.11     
1539548170          50.08     50.08     
1539548212          50.10     50.10     
1539548254          50.11     50.11     
1539548296          50.12     50.12     
1539548338          50.10     50.10     
1539548380          50.11     50.11     
1539548422          50.08     50.08     
1539548464          50.10     50.10     
1539548506          50.10     50.10     
1539548548          50.09     50.09     
1539548590          50.11     50.11     
1539548632          50.11     50.11     
1539548674          50.11     50.11     
1539548716          50.11     50.11     
1539548759          50.11     50.11     
1539548801          50.12     50.12     
1539548843          50.12     50.12     
1539548885          50.12     50.12     
1539548927          50.12     50.12     
1539548969          50.10     50.10     
1539549011          50.10     50.10     
1539549053          50.10     50.10     
1539549095          50.09     50.09     
1539549137          50.11     50.11     
1539549179          50.10     50.10     
1539549221          50.10     50.10     
1539549263          50.12     50.12     
1539549305          50.12     50.12     
1539549347          50.12     50.12     
1539549389          50.13     50.13     
